Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
ياابنيناثان:,,,يابني,ياابنينادان,ياابنينادان,يابني,,وهكذاكانيعلمهويقوللهُ,omisit
,يابني,يابني,,,,,يابني,(يابني),
اسمعكلاميواتبع,اسمعكلاميواتبع,,اسمعكلاميواتبع,اسمعكلاميواتبع,اسمعكلاميواتبع,اسمعكلاميواتبع,,,
رايي:,رايي,,رايي,رايوكن,رايي,رايي,,,
وكون,وادكر,,وادكر,,واذكر,واذكر,,,
اذكر,,,,اذكر,,,,,
قولي:,قولي,,قولي,قولي,قولي,قولي,,,
,,,يابني,وتعليمي,,يابني,,,
ياابني,ياابني,,,ياابني,ياابني,,,,
انسمعت,انسمعت,انسمعت,انسمعت,انسمعت,انسمعت,انسمعت,انسمعت,انسمعت,
كلمه,كلمه,كلمه,كلمه,كلمتً,كلمه,كلمه,كلمه,كلمه,
دعهاتموت,دعهاتموت,دعهاتموت,دعهاتموت,دعهاتموت,دعهاتموت,دعهاتموت,دعهاتموت,دعهاتموت,
فى,في,في,في,في,في,في,في,في,
قلبك:,قلبك,قلبك,قلبك,قلبك,قلبك,قلبك,قلبك,قلبك,
,_,,,,,,,,
ولاتكشفهالغيرك,ولاتكشفهالغيرك,ولاتكشفهالغيرك,ولاتكشفهالغيرك,ولاتكشفهالغيرك,ولاتكشفهالغيرك,ولاتكشفهالغيرك,ولاتكشفهالغيرك,ولاتكشفهالغيرك,
:,,,,,,,,,
ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,
جمرة,جمره,جمره,جمرت,جمرا,جمرة,جمره,جمره,جمره,
نار,,,نار,,نار,,,,
وتحرقلسانك:وتجعل,وتحرقلسانك_وتجعل,وتحرقلسانكوتجعل,وتحرقلسانكوتجعل,وتحرقلسانكوتجعل,وتحرقلسانكوتجعل,وتحرقلسانكوتجعل,وتحرقلسانكوتجعل,وتحرقلسانكوتجعل,
,,فى,,الألم,,,,,
في,في,,في,في,في,في,في,في,
جسدكالالم,جسدكالالم,جسدكالالم,جسدكالالم,قلبكوتكسب,جسدكالالم_,جسدكالالم,جسدكالالم,جسدكالالم,
وتكسبك,وتكسبك,وتكسيك,وتكسيك,,وتكسبك,وتكسبك,وتكسيك,وتكسيك,
العار:,العار,العار,العار,العار,العار_,العار,العار,العار,
وتخزا,وتخزا,وتخزا,وتخزا,وتختزي,وتخزا,وتخزا,وتخزا,وتخزي,
منالله,منالله,منالله,منالله,منالله,منالله,منالله,منالله,منالله,
ومنالناس,ومنالناس_,والناس,ومنالناس,ومنالناس,ومنالناس,ومنالناس_,ومنالناس,والناس,
يا,يا,يا,يا,يا,يا,يا,يا,(يا,
بني,ابني,بنى,بني,بني,ابني,بني,بني,بني),
,اذا,اذا,ادا,اذا,اذا,اذا,اذا,اذا,
,سمعت,سمعت,سمعت,سمعت,سمعت,سمعت,سمعت,سمعت,
,خبر,خبر,خبر,خبرًا,خبر,خبر,خبر,خبر,
,لاتفشيه_,لاتفشيه,لاتفشيه,لاتفشيه,لاتفشيه,لاتفشيه,لاتفشيه,لاتفشيه,
,واذا,واذا,وادا,واذا,واذا,واذا,واذا,واذا,
,نظرت,نظرت,نظرت,نظرت,نظرت,نظرت,نظرت,نظرت,
,شي,شيًا,شيان,شيًا,شي,شيًا,شيًا,شيًا,
,لاتحكيه,لاتحكيه,لاتحكيه,لاتحكيه,لاتحكيه,لاتحكيه,لاتحكيه,لاتحكيه,
,_ياابني,يا,يا,يا,_ياابني,_يابني,يا,(يا,
سهّل,سهّل,بنى,بني,بني,,سهّل,بني,بني),
,,سهل,سهل,سهل,سهل,,سهل,سهل,
خطابك,خطابك,خطابك,خطابك,خطابك,خطابك,خطابك,خطابك,خطابك,
للسماع:,للسامع,للسامع,للسامع,بادنالسامع,للسامع_,للسامع,للسامع,للسامع,
ولاتبادر,ولاتبادر,ولاتبادر,ولاتبادر,ولاتبادر,ولاتبادر,ولاتبادر,ولاتبادر,ولاتبادر,
بردّ,برد,برد,برد,,برد,بردّ,برد,برد,
الجواب,الجواب_,الجواب,الجواب,الجواب,الجواب,جواب,الجواب,الجواب,
,,,,عاجلًا,,,,,
يا,يا,يا,,يا,يا,يا,يا,(يا,
بني,ابني,بنى,,بني,ابني,بني,بني,بني),
لا,لا,لا,لا,لا,لا,لا,لا,لا,
تشتهي,تشتهي,تشتهى,تشتهي,تشتهي,تشتهي,تشتهي,تشتهي,تشتهي,
حسن,حسن,حسن,حسن,الحسن,حسن,حسن,حسن,حسن,
البراج:لانهُ,البراني,برانى,البراني,البراني,البراني,برّاني,براني,براني,
,لانه,لانه,لانه,لانه,لانه,لانه,لانه,لانه,
يزول:,يزول,يزول,يزول,يزول,يزول,يزول,يزول,يزول,
واسم,ويعبر_,ويعبر,ويعبر,ويعبر,ويعبر_,ويعبر,ويعبر,ويعبر,
,والذكر,والذكر,والدكر,والذكر,وذكرالصالحين,والذكر,والذكر,والذكر,
الصالح,الصالح,الصالح,الصالح,الصالح,,الصالح,الصالح,الصالح,
يدوم,يدوم,يدوم,يدوم,يدوم,يدوم,يدوم,يدوم,يدوم,
ويبقا,,,ويبقا,ويبقا,ويبقا,,,,
الى,الى,الى,الي,الي,الى,الى,الي,الي,
الابد,الابد_,الابد,الابد,الابد,الابد,الابد,الابد,الابد,
يا,يا,يا,يا,يا,يا,يا,يا,(يا,
بني,ابنيلا,بنى,بني,بني,ابنيلا,بني,بني,بني),
لا,,لا,لا,لا,,لا,لا,لا,
تخذلك,تخدعك,تخدعك,تخدعك,تتخذلك,تخدعك,تخدعك,تخدعك,تخدعك,
امراه,امراةً,امراه,امره,امراه,امراة,امراه,امراه,امراه,
سفيهة,سفيها,سفيهه,سفيهه,سفيها,سفيهه,سفيها,سفيهه,سفيهه,
