162,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 7200,Ar 7/229,Manuscrit 4122,Or. 2313,Sachau 162,Sachau 162,Sado no. 9,Syr 80
omisit,رأساختبارمتقاطعوبنىلكلواحدهمنهنمقصوره_ومعهذاكلهلميكنلهولديرثه_وكانكثيرالهملاجلذلكوانهفيذاتيومجمعالمنجمينوالسحرهوالعارفين_واشكالهمحالهوامرعقوريتهعقوريتهفقالوالهادخلادبحللالههواستجيربهملعلهميرزقوكولدًا_ففعلكماقالواله_وقدمالقرابينللاصنامواستغاثبهم_وتضرّعاليهمبالطلبهوالدعا_فلميجيبوهبكلمه_فخرجيحزانندمانخايبوانصرفمتالمالقلب_ورجعبالتضرعالىاللهتعالى_وامنواستعانبهبحرقةقلبقايلًا_ياالاهالسماوالارض_ياخالقهلاختبارأقارنكبيومصيفي؟انتأكثرجميلةوأكثراعتدالاوماتت_الخلايقكلها_كانكذلك،لذالميكنكذلك_انااطلباليكانتوهبنيولدًاحتىاتعزابهويرثنيويحضربموتيويغمضعينايويدفنني_فعندذلكاتاهصوتمنالسماقايلا_بحيثاتكلتاولًاعلىالاصنامالمنحوته_وقدمتلهمالقرابين_لذلكتبقابلاولد_بلاننادانابناختكخذهواجعلهلكولدًا_وعلمهعلمكوادبكوحكمتكوهويرثك_عندذلكاخذنادانابناختهوكانصغيريرضع_فسلمهالىتمانيةنسامرضعاتليرضعوهويربوه_فربوهبالاكلالطيبوالبسوهالحريروالارجوانوالقرمزوكانجلوسهعلىالطنافسالحرير_فلماكبرنادانومشىونمىمثلالارزالعاليفعلمهالكتابهوالقرااهوالتاديبوالفلسفه_فلماكانبعضالايامنظرسنحاريبالملكفراىحيقاروزيرهوكاتبهوهوقدبقىرجلشيخكبيرفقاللهايهاالصاحبالمحبالمكرمالماهرالمدبرالحكيمكاتبيووزيريوكاتمسريومدبردولتي_هاقدكبرتوطعنتفيالسناختباروشخت_وقربوقتموتكووفاتك_فقولأليمنيقومفيخدمتيبعدك_فقاللهحقروقالللسيافكاناسمهيبوسميكمسكينكنتيقومخدحيقروامضيمصرالىعندفرعونالملكولمافتركهموحزنوتالمبقولهوختمهمبختمخالهحيقار_واماهمفيدارالملكثممضاايضاوكتبصوتهفيطرحونصهلفيبلاداتورونينوافسمعواخيلناصوتهفطرحوافلماسمعحيقارقيلبالامثالمنلايسمعمناذنيهالرعيَّه_ياابنياربعةًاخرالعاقلوالاحمقهذاالحجرقدَّحتىاخيطلكمهذاالحجر_بالعطايوكبرهوبعديوماناحيقاربعثتالىاشفغنيزوجتيوقلتلهاحالوصولاليكيامريقوليللصيادينانيصيدوالنافرخيننسوراوقوليلصناعالقطنانيفتلوالناشريطينيكونواغليظصبعوطولالفينذراعوالنجارينحتىينجرونصناديقكبارواعطينبوحالوطبوليملسبعةنسامرضعةحتىيربوهمواذبحيكليومخاروفللنسورا_فرعوناكابرهانيلبسونثيابالبرفيرالاحماروالملكلبسثوبارجاونىوجلسعلىكرسيهوكلعظاماهقيامقدامهوامرادخلونياليهقاللىياابيشاملمناشبهاناواكابرىلمنيشبهونقلتلهتشبهانتلبيلالصنمواكابركيشبهونلخدامهفقاللىامضيالىمنزلكوايضاقالاكابرهبالغدالبسواكلكمثياباحمروتجوا_,omisit,omisit,ܗܪܟܐܩܦܣܐܚܝܩܪܡܠ̈ܐ,,omisit,ܗܪܟܐܩܦܣܐܚܝܩܪܡܠ̈ܐ,ܗܪܟܐܩܦܣܐܚܝܩܪܡܠ̈ܐ
,,,,ܕܚܟܡܬܗ,,,ܕܚܟܡܬܗ,ܕܚܟܡ̱ܬܗ
,,,,ܕܠܢܕܢ,,,ܕܠܢܕܢ,ܕܠܢܕܢ
,,,,ܐܠܦ܆,,,ܡܠܦܟܕܡܚܘܐ܂܂܂ܐܚܝܩܪܠܡܠܟܐܟܠܕܥܒܕܢܕܢܠܩܢܝܢܘܗ̈ܝܘܠܢܟܣܘܗ̈ܝ܂܂,ܐܠܦ܂
,,,,ܗܝܕܝܢܐܢܐܐܚܝܩܪ,,,ܗܝܕܝܢܐܢܐܐܚܝܩܪ,ܗܝܕܝܢܐܢܐܐܚܝܩܪ
,,,,ܗܢܐ,,,,ܗܢܐ
,,,,ܝܘܠܦܢܐܐܠܦܬܗܠܢܕܢܒܪ,,,ܝܘܠܦܢܐܐܠܦܬܗܠܢܕܢܒܪ,ܝܘܠܦܢܐܐܠܦܬܗܠܢܕܢܒܪ
,,,,ܚܬܝ,,,ܚܬܝ܂,ܚܬܝ܂
,,,,ܟܕܣܒܪ,,,ܟܕܣܒܪ,ܟܕܣܒܪ
,,,,ܗܘܝܬ,,,ܗܘܝܬ,ܗ̄ܘܝܬ
,,,,ܕܟܠܗܝܘܠܦܢܐ,,,ܕܟܠܗܝܘܠܦܢܐ,ܕܟܠܗܝܘܠܦܢܐ
,,,,ܕܬܠܦܬܗ,,,ܕܐܠܦܬܗ,ܕܐܠܦܬܗ
,,,,ܢܐܚܕܝܘܗܝ,,,ܠܐܚܕܝܘܗܝ܂܂,ܢܐܚܕܝܘܗܝ
,,,,ܒܠܒܗ,,,ܒܠܒܗ,ܒܠܒܗ܆
,,,,ܘܢܩܘܡܒܬܪܥ,,,ܘܢܩܘܡܒܬܪܥ,ܘܢܩܘܡܒܬܪܥ
,,,,ܡܠܟܐ܆,,,ܡܠܟܐ,ܡܠܟܐ܂
,,,,ܘܠܐܝܕܥܬܕܠܐܫܡܥܐܢܝܢ,,,ܘܠܐܝܕܥܬܕܠܐܫܡܥܐܢܝܢ,ܘܠܐܝܕܥܬܕܠܐܫܡܥܐܢܝܢ
