433,Sachau_336
ܒܫܡ,ܒܫܡ
ܐܒܐܘܒܪܐܘܪܘܚܐܕܩܘܕܫܐ܂ܡܫܪܝܢܢܠܡܟܬܒܩܠܝܠܬܫ̈ܥܝܬܐܕܡܠܦܢ̈ܐܘܣܛܪ܇ܩܕܡܝܑܬ܇ܬܫܥܝܬܐܕܐܚܝܩܪ܂ܚܟܝܡܐܘܦܝܠܣܘܦܐܘܡܗܝܪܐ܂,ܐܠܗܐܚܝܐ܇ܡܫܪܐܥܒܕܐܚܛܝܐ܂ܠܡܟܬܬܫܥܝܬܢܝܢܘܝܐ܇ܐܚܝܩܪܐܬܘܪܝܐ܆ܕܥܒܕܗܝܥܩܘܒܐܘܪܗܝܐ܂ܒܓܘܠܫܢܐܣܘܪܝܝܐ܂ܕܡܢܡܥܐܣܘܟܠܝܐܕܡܪܝܐܦܪܝܡܗܘܩܕܡܝܐ܆ܕܥܢܕܒܐܬܪܐܟܠܕܝܐܫܢܬܐ̈ܪ̈ܢ̈ܒܠܝܘܢܝܐ܀܀܀blankline*
ܐܡܪ,ܐܡܪ
ܕܒܝܘ̈ܡܬܐܕܣܢܚܪܝܒ,ܟܕܐܝܬܝܗَܘܝܬܒܝܘܡܝ̈ܣܢܚܪܝܒ܂
ܡܠܟܐ,ܡܠܟܐ
ܕܢܝܢܘܐ܂,ܕܢܝܢ̈ܘܐ܂
ܟܕ,
ܐܢܐ,ܐܢܐ
ܐܝܬܝܗ̄ܘܝܬܐܦܛܪܘܦܗܘܟܬܘܒܗ܂ܘܟܕܐܝܬܝܗ̄ܘܝܬ܆ܓܕܘܕܐܘܐܡܪܘ,ܐܚܝܩܪ
,ܟܕ
,ܗَܘܝܬܐܦܛܪܘܦܐܘܣܦܪܐ܂ܘܥܠܝܡܐܗَܘܝܬܗَܘܝܬ܂ܐܡܪܘ
ܠܝ,ܠܝ
ܚܖ̈ܫܐܘܟܠܕܝ̈ܐܘܦܝܠܣ̈ܘܦܐܕܐܢ,ܚܪ̈ܫܐܘܡܓܘ̈ܫܐ܂ܘܚܟܝܡ̈ܬܐ܂ܕܠܐ
ܢܗܘܐܠܟܒܪܐ܂,ܢܗܘܐܠܟܒܪܐ܂
ܘܟܕܐܝܬܗ̄ܘܐܠܝ,ܟܕܩܢܐܗَܘܝܬ
ܥܘܬܪܐ,ܥܘܬܪܐ
ܣܓܝܐܐܘܩܢܝ̈ܢܐ܂ܘܢܣܒܬܠܝܫܬܝܢܢܫܝ̈ܢ,ܣܓܝܐܐ܂ܘܡܠܝܟܗَܘܝܬܝܘܬܪܢܐܛܒܐ܂ܘܐܙܕܘܓܬܒܓܘܫܬܝ̈ܢܢܫ̈ܐ܂
ܘܒܢܝܬ,ܘܒܢܝܬ
ܠܗܝܢܫܬܝܢܐܦܕܢ̈ܐܪܘܪ̈ܒܬܐܘܦܐܝ̈ܬܐܘܫܦܝܪ̈ܬܐܘܒܬ̈ܐ,ܠܗܘܢܫܬܝ̈ܢܐܦܕ̈ܢܐ
ܪܘܪ̈ܒܐ܂,ܪܘܪ̈ܒܐ܂
,ܬܡܝܗ̈ܐܘܬܗܝܪ̈ܐ܂ܘܒ̈ܬܐܪܘܪ̈ܒܐـ
ܘܗܘܝܬܐܝܟܒܪ,ܘܗܘܝܬܐܝܟܒܪ
ܫܢܝ̈ܢ,
ܫܬܝܢ,ܫܬܝܢ
,ܫܢܝ̈ܢ܂
ܘܠܐ,ܘܠܐ
ܗܘܐ,ܐܬܝܠܕ
ܠܝܒܪܐ܂,ܠܝܒܪܐ܂
ܘܡܚܕܐ,ܒܪܡ
ܐܢܐܐܚܝܩܪ,ܐܢܐܐܚܝܩܪ
ܐܙܠܬܘܩܪܒܬ,ܐܙܠَܬܘܐܩܪِܒܬ
ܕܒܚ̈ܐܘܩܘܪ̈ܒܢܐ,ܕܒܚ̈ܐܘܩܘܪ̈ܒܢܐ
ܠܐܠܗ̈ܐ,ܠܐܠܗ̈ܐ܂
ܘܐܥܛܪܬ,ܘܐܥܛܪܬ
ܐܢܘܢ,
ܠܗܘܢ,ܠܗܘܢ
ܡܘܪܐܘܠܒܘܢ̄ܬܐ,ܠܒܘܢَܬܐܘܒܣܡܐ܂
ܘܐܡܪܬܠܗܘܢ,ܘܐܡܪܬܠܗܘܢ
ܕܐܘܐܠܗ̈ܐ܂,ܐܘܐܠܗ̈ܐ
ܗܒܘܠܝ,ܗܒܘܠܝ
ܒܪܐ,ܚܕܒܪܐ܂
ܕܐܚܕܐܒܗ܂,ܕܐܚܕܐܒܗ܂
ܘܥܕܡܐ,ܥܕܡܐ
ܕܐܡܘܬ,ܕܐܡܘܬ
ܝܪܬ,ܘܝܪܬ
ܠܝ܂ܘܗܘܢܥܡܨ,ܠܝ܂ܘܗܘܢܥܡܨ
ܥܝܢ̈ܝ,ܥܝܢܝ̈
ܘܢܩܒܪܢܝ܂,ܘܢܩܒܪܢܝ܂
ܡܢܝܘܡܐܕܡܘܬܝܘܥܕܡܐܠܝܘܡܐܕܡܘܬܗܟܠܝܘܡܚܕܐ,ܘܡܢܝܘܡܡܘܬܝܥܕܠܡܘܬܗܟܠܝܘܡܡܦܩ
ܟܘܪܐ,ܟܘܪܐ
,ܚܕ
ܕܕܗܒܐ,ܕܕܗܒܐ
ܐܢܗܘܕܡܦܠܓܘܡܒܕܪ,ܘܢܒܕܪܠܗ
ܡܢ,ܡܢ
ܡܕܡ,ܡܡܘܢܐ
ܕܝܠܝ,ܕܝܠܝ
ܠܐ,ܘܠܐܢܫܠܡ܂
ܢܚܣܪ܂,
ܘܝܘܬܪܢܝܠܐ,ܘܝܘܬܪܢܝܠܐ
,ܢܚܣܪ܂
ܢܒܨܪ܂,
ܘܠܐ,ܘܠܐ
ܐܬܝܒܘܗܝ,ܥܢܘܠܗ
ܦܬܟܪ̈ܐ,ܦܬܟܪ̈ܐ
,ܡܠܬܐ
ܡܕܡ܂,ܡܕܡ܂
ܘܫܒܩ,ܒܪܡܫܒܩ
ܐܢܘܢܘܚܫ,ܐܢܘܢܘܚܫ
ܘܐܬܬܥܝܩ,ܘܐܬܟܡܪ
ܣܓܝ܂,ܣܓܝ܂
ܘܗܦܟܒܡܐܡܪܗܘܐܬܟܫܦܠܡܪܝܐ܂,ܒܪܡܕܝܢܗܦܟܒܡܐܡܪܗ܂ܐܬܟܫܦܠܘܬܐܠܗܐ܂
ܘܐܬܗܝܡܢ,ܘܐܬܗܝܡܢ
ܒܡܬܟܫܦܢܘܬܐܒܠܒܐܝܩܝܕܐ܂,ܘܐܬܟܫܦܒܝܫܘܥܗܒܠܒܗ܂
ܘܐܡܪܐܘܐܠܗܐܕܫܡܝܐܘܕܐܪܥܐ܂,ܘܐܡܪܐܘܐܠܗܐܕܫܡܝܐܘܕܐܪܥܐ܂
ܐܘܒܪܘܝܐܕܒܪ̈ܝܬܐ,ܘܒܪܘܝܐܕܒܪܝܬܐ
ܟܠܗܝܢ܂ܐܢܐ,ܟܠܗܝܢ܂ܐܢܐ
