433,Sachau_336
,ܐܘܒܪܝܢܕܢ
ܫܡܥ,ܫܡܥ
ܠܡܠܬܝܘܩܦܠܡܠܝܝ̈ܘܬܕܟܪܡܠܬܝ,ܡܠܝ̈ܘܢܩܦܠܡܐܡܪܝܘܥܗܕܠܦܬܓܡܝ̈܂
ܐܝܟ,ܐܝܟ
ܡܠܬܐܕܐܠܗܐ܂ܐܘܒܪܝܢܕܒ,ܕܐܡܪܡܪܝܐ܂ܝܐܒܪܝܢܕܢ
ܐܢ,ܐܢ
ܫܡܥܬܡܠܝ̈ܫܒܘܩܝܗܬܡܘܬ,ܫܡܥܐܢَܬܠܡ̈ܠܝ܂ܐܚܘܕܐܢܝܢ
ܒܠܒܟ܂ܘܠܐ,ܒܠܒܟ܂ܘܠܐ
ܬܓܠܝܗ,ܬܓܠܝܘܗܝ
ܠܒܪܡܢܟ܂,ܠܒܪܡܢܟ܂
ܕܠܐ,ܕܠܡܐ
ܬܗܘܐ,ܬܗܘܐ
ܓܡܘܪܬܐܕܢܘܪܐ,ܓܘܡܪܐܕܢܘܪܐ܂
ܘܬܘܩܕ,ܘܬܘܩܕ
ܠܫܢܟܘܬܥܒܕܢܟܝܢܐܒܦܓܪܟ܂ܘܬܥܒܕܟܚܣܕܐ,ܠܫܢܟ܂ܘܥܒܕܐܢَܬܟܒܐܠܓܘܫܡܟ܂ܘܬܐܪܬܟܒܝܫܬܐ܂
ܘܬܒܗܬܡܢܐܠܗܐ,ܘܬܒܗܬܡܢܐܠܗܐ
ܘܡܢܒܢܝܢܫ̈ܐ܂,ܘܐَܢܫܐ܂
ܐܘܒܪܝܐܢ,ܐܘܒܪܝܐܢ
ܫܡܥܬܡܠܝ̈܂,ܬܫܡܥܡܠܬܐܡܕܡ
ܠܐ,ܠܐ
ܬܓܠܝܗܠܚܕ,ܬܓܠܝܘܗܝܠܐَܢܫ܂
ܘܐܢܚܙܝܬܠܐ,ܘܐܢܚܙܝܬܠܐ
ܬܡܠܠ,ܬܡܪ
ܡܕܡ܂ܐܘܒܪܝ,ܡܕܡ܂ܐܘܒܪܝ
,ܐܢ
ܩܛܪܐ,ܩܛܪܐ
ܚܬܝܡܐ,ܕܐَܪܙܐ
ܠܐܬܫܪܐ܂ܘܩܛܪܐܫܪܝܐܠܐܬܚܬܘܡ܂ܐܘ,ܠܐܬܫܪܐ܂ܘܩܛܪܐܫܪܝܐܠܐܬܚܬܘܡ܂ܐܘ
ܫܘܐܐܘܪܚܟܘܫܒܝܠܟܘܣܪܗܒܠܡܫܡܥ,ܒܪܝܬܪܨܫܒܝܠܟܘܡܡܠܟ܂ܘܐܫܬܡܥ
ܘܠܐ,ܘܠܐ
ܠܡܬܠܬܣܪܗܒ,ܬܬܝܒ
ܦܬܓܡܐ܂ܐܘܒܪܝܠܐܬܪܓܫܘܦܪܐ,ܦܬܓܡܐ܂ܐܘܒܪܝܠܐܬܪܓܫܘܦܪܐ
ܢܘܟܪܝܐـ,ܒܪܝܐ܂
ܡܛܠܕܫܘܦܪܐ,ܡܛܠܕܫܘܦܪܐ
ܥܒܪ܂,ܡܫܬܒܩܘܥܒܪ܂
ܘܕܘܟܪܢܐ,ܘܕܘܟܪܢܐ
ܛܒܐ܂,ܛܒܐ
ܘܫܡܐܛܒܐ,ܘܫܡܐܛܒܐ
ܡܩܘܐܠܥܠܡ܂ܐܘ,ܡܟܬܪܠܥܠܡܝܢ܂
ܒܪܝܠܐܬܣܒܠܟ,ܒܪܝܠܐܬܣܒܠܟ
ܐܢ̄ܬܬܐܢܨܝܬܐܒܡܠܬܗ܂,ܐܢَܬܬܐܢܨܬܐܒܡ̈ܠܝܗ
ܡܛܠܕܡܢ,ܡܛܠܕܡܢ
ܡܠܬܗܡܛܝܐܡܪܝܪܘܬܐ,ܡ̈ܠܐܢܦܩܐܡܪܝܪܘܬܐ܂
ܘܣܡܐ,ܘܣܡܐ
ܕܡܘܬܐ܂ܬܐܚܘܕ,ܕܡܘܬܐܒܡܨܝܕܬܗܬܬܥܪܩܠ܂
ܘܒܓܘܦܚܬܗ,ܘܒܓܘܦܚܬܗ
ܐܨܘܕ܂ܐܘ,ܬܬܨܝܕ܂
ܒܪܝܐܢ,ܒܪܝܐܢ
ܚܙܝܬܐܢ̄ܬܬܐܡܨܒܬܐܒܠܒܘܫ̈ܐܨܐܐ܂ܘܬܡܫܘܚ,ܚܙܐܐܢَܬܐܢَܬܬܐܡܨܒܬܬܐܒܠܒܘܫ̈ܐ܂ܘܡܫܚܐ
ܒܡܫܚܐ,ܒܡܫܚܐ
ܘܒܣܡܐ܂,ܕܒܣܡܐ܂
ܘܗܝ,ܘܗܝ
ܒܢܦܫܗܫܛܬܐܘܕܠܐܒܗܬܬܐܘܚܘܨܦܢܝܬܐ,ܒܝܬܗܫܛܝܬܐܘܢܨܬܐܘܚܨܦܢܝܬܐ܂
ܠܐܬܪܓܝܗ,ܠܐܬܪܓܝܗ
ܒܠܒܟ܆ܘܠܐܬܫܠܡ,ܒܠܒܟ܂ܘܐܢܬܬܠ
ܠܗ,ܠܗ
ܩܢܝܢܟ܂ܚܙܝܬܠܐ,ܟܠܕܐܝܬܠܟ܂ܡܫܬܟܚܬܕܠܐܐܝܬܝܟܒܫܘܒܚܐ܂ܐܠܐܡܪܓܙܐܢَܬܐܠܗܐܘܡܚܡܬܐܢَܬܠܗܥܠܝܟ܂ܒܪܝܠܐܬܗܘܐܩܠܝܠܠܡܬܠܦܬܓܡܐ܂ܘܚܘܨܦܢܐܒܡܬܒܦܬܓܡܐܘܡܐܡܪܐܐܝܟܐܝܠܢܐܕܠܘܙܐ܂ܡܢܩܕܡܟܠܐܝܠܢ̈ܐܡܬܒܪܐ܂ܘܡܘܪܩܘܒܐܚܪܝܬܟܠܒܐܚܪܝܬܟܠܡܬܟܠܐܒܗܗܘܝܐܝܟܐܝܠܢܐܒܣܝܡܐܘܬܡܝܡܐܘܢܝܚܐܘܡܪܐܛܥܡܐܐܝܟ
ܐܝܠܢܐ,ܐܝܠܢܐ
ܕܬܘܬܐ܂ܒܚܪܬܐܕܪܐ,ܬܘܬܐܡܛܠܕܒܚܪܬܐܪܟܢܣܘܟܘܗ̈ܝܘܡܘܪܩ܂
ܘܡܦܩ,ܘܡܦܩ
ܛܪ̈ܦܘܗܝܘܩܕܡ܂ܡܢܟܠܗܘܢܡܘܟܠܦܐܪ̈ܘܗܝ܂ܒܪܝܐܪܟܢ,ܛܪ̈ܦܘܗܝ܂ܘܩܕܡܟܠܡܬܐِܟܠܦܐܪܗ܂ܒܪܝܓܗܢ
ܪܫܟ,ܪܫܟ
ܘܚܘܪܘܚܙܝܠܬܚܬܘܪܟܟܩܠܟܘܗܘܝܬܡܬܪ̱ܕܐܘܫܬܝܩܘܬܡܝܡܠܐܬܗܘܐܢܨܝ,ܘܐܕܝܩܘܚܘܕܠܬܚܬ܂ܘܐܪܟܢܨܘܬܟ܂ܘܗܘܝܪܕܝܐܪܟܝܢܐܫܬܝܩܐ܂ܢܝܚܐ܂
ܘܠܐ,ܘܠܐ
ܬܬܪܝܡ,ܬܗܘܐܚܘܨܦܢܐܘܚܪܢܝܐ܂ܠܐܬܥܠܐ
ܩܠܟܒܫܘܒܗܪܐ,ܩܠܟܒܫܘܒܗܪܐ
ܕܒܗܐܝܬܣܒܪܐ܂ܘܐܦܠܐܐܢܢܗܘܐܒܩܠܐܪܡܐܘܥܫܝܢܐܒܢܐ,ܘܫܓܘܫܝܐ܂ܡܛܠܕܒܥܠܐܩܠܐܥܫܝܢܐܡܬܒܢܐ
ܒܝܬܐ܂,ܒܝܬܐ܂
ܚܡܪܐ,ܕܚܡܪܐ܂
ܒܢܐ,ܒܢܐ
ܗ̄ܘܐܬܪܝܢܒܬ̈ܐ,ܗَܘܐܬܪ̈ܝܢ
ܒܚܕ,ܒܚܕ
ܝܘܡܐ܂ܘܐܦܢܦܕ̈ܢܐܒܚܝܠܐܢܬܕܒܪܘܢ܂ܠܐܗ̄ܘܬܪܚܝܩܐܡܢܬܚܝܬܦܣܥܬܐܕܓܡܠܐ܂ܐܘܒܪܝܡܫܢܝܢܐܕܟܐ̈ܦܐܓܒܪܐܚܟܝܡܐ܂ܒܚܪܬܐܫܬܝܐܕܚܡܪܐܥܡܓܒܪܐܚܫܢܐ܂,ܝ̈ܘܡܐ܂ܘܐܢܗܘܕܦܕܢܐܕܒܪܐܗَܘܬܒܚܝܠܐ܂ܟܕܓܡܠܐܕܒܪܗَܘܐܣܓܝ܂
ܒܪܝܐܫܘܕܚܡܪܟ,ܒܪܝܐܫܘܕܚܡܪܟ
,ܘܡܙܘܓ
ܥܠܩܒܪ̈ܐ,ܥܠܩܒܪ̈ܐ
ܕܙܕܝܩ̈ܐܘܛܒ̈ܐ,ܕܙܕܝܩ݁ܐ܂ܒܪܝܗܘܝܚܟܝܡܐܛܒܐ܂
ܘܠܐܬܫܬܝܘܗܝ,ܘܠܐܬܫܬܝܘܗܝ
ܥܡܐ̄ܢܫܐܐܟܬܢ̈ܐܘܝܡܝ̈ܐ܂ܐܘܒܪܝ܂ܕܒܩܥܡܐ̄ܢܫܐ,ܚܡܖܟܥܡܢܫ̈ܐܢܨܝ̈ܬܐ܂ܒܪܝܚܒܪ
ܚܟܝܡ̈ܐ,ܚܟܝܡ̈ܐ
ܕܚ̈ܠܝܐܠܗܐܬܗܘܐܐܟܘܬܗܘܢ܂,ܐَܢܫܐܕܚܠܝ̈ܡܢܐܠܗܐ܂ܕܬܗܘܐܐܟܘܬܗܘܢ
ܘܠܐ,ܘܠܐ
ܬܕܒܩܥܡܐ̄ܢܫܐܥܠܝܡ̈ܐ,ܬܚܒܪܐَܢܫܐܫܒܪ̈ܐ܂
ܕܠܐܬܗܘܐܐܟܘܬܗܘܢܘܬܐܠܦܡܢ,ܕܠܐܬܗܘܐܐܟܘܬܗܘܢܘܬܐܠܦܡܢ
ܐܘܪ̈ܚܬܗܘܢܒܪܝܐܢܬܩܢܐܪܚܡܐܘܚܒܪܐܢܣܝ܂ܘܟܢܩܢܝܘܗܝ܂,ܐܘܪ̈ܚܬܗܘܢ܆ܒܪܝܐܢܬܚܒܒܚܒܪܐ܂ܢܣܝܗܝܐܕܡܝܑܬ܂ܘܒܬܪܟܢܚܒܪܠܗ܂
ܘܐܢܠܐ,ܘܐܢܠܐ
ܢܣܝܬܠܒܪܢܫܐ,ܬܢܣܐܐَܢܫܐ
ܠܐ,ܠܐ
ܬܫܒܚܝ܏ܘ܇,ܬܫܒܚܝ܏ܘ
ܬܫܒܚܝܘܗܝ܇ܒܪܡ,ܬܫܒܚܝܘܗܝ܇ܒܪܡ
ܢܣܝܘܟܢܩܢܝܘܗܝ܂ܐܘ,ܢܣܝܗܝ܂ܘܒܬܪܟܢܐܚܘܕܝܗܝ܂
ܒܪܝܥܡܗܘ,ܒܪܝܥܡܗܘ
ܕܠܝܬܘܘܗܝ,ܕܠܐܐܝܬܘܗܝ
ܚܟܝܡܐܠܐ,ܚܟܝܡܐܠܐ
ܬܛܫܐܡܠܬܟ܂ܘܥܡܓܒܪܐܫܛܝܐܠܐܬܥܒܕܠܟܚܘܠܛܢܐ܂ܒܪܝܐܢܬܗܘܐܚܦܚ,ܬܗܠܟ܂ܘܠܐܬܡܠܠܥܡܗܡܕܡ܂ܘܥܡܟܢܫܫܒܪ̈ܐ
ܠܐ,ܠܐ
ܬܗܠܟ,ܬܚܠܘܛ܂ܒܪܝܗܠܟܒܪ̈ܓܠܝܟܒܚܦܝܝܘܬܐ
ܥܠ,ܥܠ
ܟܘ̈ܒܐܘܩܘܪ̈ܛܒܐ,ܟܘܒ̈ܐܘܕܪܕܪ̈ܐ܂
ܘܥܒܕ,ܘܥܒܕ
ܐܘܪܚܐܠܒ̈ܢܝܟ,ܫܒܝܠܐܠܒܢܝ̈ܟ
ܘܠܒܢܝ̈,ܘܠܒܢܝ̈
ܒܢ̈ܝܟ܂ܐܘ,ܒܢܝ̈ܟ܂
ܒܪܝܟܠ,ܒܪܝܟܠ
ܡܐܕܢܫܒܪܘܚܐܒܝܡܐܘܡܫܬܓܫ,ܐܡܬܝܕܢܫܒܐܢܫܡܬܐܒܐܐܪ܂ܘܝܡܐܫܬܝܩ
ܡܢ,ܡܢ
ܓܠ̈ܠܐ,ܓܠܠ̈ܐ܂
ܥܬܕ,ܥܬܕ
ܕܦܝܢ̄ܬܟ,ܣܦܝܢَܬܟܘܐܠܦܟ
ܠܠܡܐܢܐ܂ܡܢܩܕܡ,ܠܠܡܐܢܐ܂ܡܢܩܕܡ
ܕܡܬܕܠܚ,ܕܙܐܥ
ܝܡܐܘܡܫܬܓܫ,ܝܡܐܘܡܫܬܓܫ
ܘܢܣܓܘ,ܘܡܣܓܐ
ܓܠܠܘܗ̈ܝ,ܓܠܠܘܗ̈ܝ
ܘܡܚܫܘܠܘܗ̈ܝܘܬܐܒܕܣܦܝܢ̄ܬܐ܂ܘܐܢ̄ܬ,ܘܡܚܫ̈ܘܠܐ܂ܘܛܒܥܠܐܠܦܐ܂ܘܐܢَܬ
ܫܠܐ,ܫܠܐ
ܘܐܬܪܥܐܒܐܘܪܚܟܟܕܚܠܝܡܐܢ̄ܬ܂ܐܬܪܥܐܒܐܓܝܪ̈ܐܘܐܬܕܟܪ,ܒܫܒܝܠܟ܂ܘܒܪܕܝܟ܂ܗܢܘܟܠܐܡܬܝܕܐܝܬܝܟܚܠܝܡ܂ܪܢܝܒܚܪܬܟ܂ܘܐܬܕَܟܪ
ܡܘܬܐ,ܡܘܬܐ
ܠܢܦܫܟ܂,ܒܝܬܠܟܘܠܝܬܟܘܠܝܬܟ܂
ܒܪܝܥܬܝܪܐܐܟܠ,ܒܪܝܥܬܝܪܐܐܟܠ
ܚܘܝܐ,ܚܘ̈ܩܬܐ
ܘܐܡܪܝܢܡܛܠ,ܘܐܡܪܝܢܡܛܠ
ܐܣܝܘܬܐܘܚܠܝܡܘܬܗܡܐܟܠܗ܂,ܕܢܬܚܠܡܐܟܠܕܐܝܟܕܥܕܪܐܠܗ܂
ܘܐܢ,ܘܐܢ
ܐܟܠܗ,ܐܟܠܠܗ
ܡܣܟܢܐܐܡܪܝܢܡܢܟܦܢܗ,ܡܣܟܢܐܐܡܪܝܢܡܢܟܦܢܗ
ܐܟܠܗ܂ܒܚܦܝܛܘܬܐܪܒܬܐܡܫܬܟܚ,ܐܟܠܠܗ܂ܡܛܠܕܒܨܦܬܐܣܓܝܐܬܐܡܫܬܒܚ
ܓܒܪܐܛܒܐ,ܓܒܪܐܛܒܐ
ܘܙܕܝܩܐ܂,ܘܙܕܝܩܐ܂܂
ܒܪܝ,ܒܪܝ
ܣܝܡܦܣܬܟܠܚܘܕ܂ܘܒܡܕܡ܃,ܐܟܠܡܢܬܟܒܠܚܘܕ܂ܘܒܡܕܡ
ܕܚܒܪܟܠܐ,ܕܚܒܪܟܠܐ
ܬܢܣܗ,ܬܪܚܡ܂
ܒܪܝ,ܒܪܝ
ܥܡܐܟܬܢ,
ܠܐ,ܠܐ
ܬܢܨܐ܂ܘܥܡܡܢ,ܬܗܘܐܫܒܒܐܠܠܠܐ܂ܥܡܝܗܘ
ܕܠܐ,ܕܠܐ
ܢܒܗܬ,ܢܟܦ
ܠܐ,ܠܐ
ܬܚܫܘܠܐ̄ܪܙܐ܂,ܬܩܬܘܪܐَܪܙܐ܂
ܒܪܝܒܛܒܬܐ,ܒܪܝܒܛܒܬܐ
ܐܬܬܘܐܥܡܣܢܐ̈ܝܟ܂ܘܐܬܬܚܫܒܓܘܥܩܬܗ̈ܘܢ܆ܢܗܘܘܢ,ܦܓܥܒܣܢ̈ܐܝܟ܂ܘܚܫܒܒ̈ܝܫܬܗܘܢܘܐܬܐِܒܠ܂ܕܓܕܫ̈ܢ
ܠܗܘܢ܂,ܠܗܘܢ܂
ܘܠܐ,ܠܐ
ܬܚܕܐ,ܬܚܕܐ
ܒܓܘ,ܒܥܕܢ
ܡܦܘܠܬܗܘܢ܂ܒܪܝܠܐ,ܡܦܘܠܬܗܘܢ܂ܒܪܝܠܐ
ܬܬܩܪܒܠܘܬܐܢ̄ܬܬܐܢܨܬܐܘܡܪܓܙܢܝܬܐ܂ܘܠܐ,ܬܩܪܘܒܠܐܢَܬܬْܐܢܨܬܐ܂ܘܡܪܝܡܬܩܠܗ܂ܠܐ
ܬܨܒܐ,ܬܨܒܐ
ܒܫܘܦܪܗܕܐܢ̄ܬܬܐܢܨܬܐܘܡܪܓܙܢܝܬܐ܂ܛܪܡܢܟܫܘܦܪܗܕܐܢ̄ܬܬܐܕܗܝܒܗܝܬܐ܂ܘܠܐ,ܒܫܘܦܪ̈ܗܕܐܢَܬܬܐܦܟܢܝܬܐܛܡܐܬܐ܂ܡܛܠܕܫܘܦܪܗܕܐܢَܬܬܐܐܝܬܘܗܝܨܥܪܗ܂ܘܠܝܬܘ̈ܗܝ
ܨܒܬܐ,ܨܒܬܐ
ܕܠܒܘܫܗܘܫܘܦܪܗܒܪܝܐ܂ܗܘܕܒܗܬܫܕܠܘܬܛܥܝܟ܂,ܕܐܠܒܘܫܝܗܘܫܘܦܪܐܒܪܝܐܕܒܗܘܢܨܝܕܐܘܡܛܥܝܐܠܟ܂
ܒܪܝܐܝܟܩܕܫܐܒܐܕܢܐ,ܒܪܝܐܝܟܩܕܫܐܒܐܕܢܐ
ܕܚܝܘܬܐܠܐܡܘܬܪܠܗ,ܕܥܪܕܐܕܠܐܡܗܢܝ̈ܢܡܕܡܗܟܢܐܐܢَܬܬܐ
ܡܕܡ܂ܗܟܢܐ,ܡܪܬ
ܐܢ̄ܬܬܐ,ܚܙܘܐ܂ܠܐܡܗܢܝܐ
ܡܪܬ,ܡܕܡ܂ܗܟܢܐ
ܚܙܘܐܒܝܫܬܒܥ̈ܒܕܐܘܒܡܠܬܐܘܙܥܘܪܘܬܝܕܥܬܐ܂ܘܚܘܨܦܢܝܬܐܘܒܝܫܬܐܠܝܬܠܟܒܓܘܗܝܘܬܪܢܐ܂,ܐܝܬܝܗܒܝܫܬܐܒܡ̈ܠܝܗܘܒܥܒܕ̈ܝܗ܂ܘܠܐܪܕܝܬܐܘܦܟܢܝܬܐ܂ܘܡܡܠܠܐܒܐܪ̈ܝܥܬܐ܂
ܒܪܝܐܢ,ܒܪܝܐܢ
ܐܪܥܟ,ܦܓܥܒܟ
ܒܥܠܕܒܒܟ,ܒܥܠܕܒܒܟ
ܒܒܝܫܬܐܐܢ̄ܬܬܪܥܝܘܗܝܒܛܒܬܐ܂ܘܩܒܠܝܗܝܒܝܕܥܬܐ܂,ܒܒܝܫܬܐ܂ܐܢَܬܐܪܥܝܗܝܒܛܒܬܐܘܩܒܠܝܗܝ܂
ܒܪܝܚܟܝܡܐ,ܒܪܝܚܟܝܡܐ
ܢܦܠ,ܢܦܠ܂
ܘܓܒܪܐܙܕܝܩܐܡܢܕܘܟܬܗܠܐ,ܘܓܒܪܐܙܕܝܩܐܡܢܕܘܟܬܗܠܐ
ܡܙܕܥܙܥ܂,ܡܬܬܙܝܥ܂
ܒܪܝܐܢ,ܒܪܝܐܢ
ܟܪܗܐܣܝܐܡܫܟܚ,ܡܬܟܪܗܚܟܝܡܐܡܨܐ
ܐܣܝܐܕܢܐܣܝܘܗܝ,ܐܣܝܐܕܢܐܣܝܘܗܝ
ܘܚܡܬܢܐ,ܘܢܚܠܡِܝܘܗܝ܂ܒܪܡܠܠܐ
ܠܝܬ,ܠܝܬ
ܣܡܐܠܟܘܪܗܢܗܘܠܫܘ̈ܡܬܗ܂,ܐܣܝܘܬܐܠܟܐܒܘ̈ܗܝܘܠܚܒܪ̈ܬܗ܂
ܒܪܝ,ܒܪܝ
ܩܒܠܝܗܝ,ܩܒܠ
ܠܘܬܟ,ܠܘܬܟ
ܫܛܝܐܡܢܟܐܘܒܨܝܪ,ܡܢܕܐܝܬܘܗܝܠܬܚܬ
ܡܢܟ܂,ܡܢܟ܂
